CPU,RAM,RAM_Type,GPU,Storage,Screen,Price,Brand
Intel Core i9-12900H,64GB,DDR5,RTX 3080,2TB,1440p,2760,MSI
AMD Ryzen 5 5500U,16GB,DDR3,RTX 3050,256GB,720p,580,HP
AMD Ryzen 3 5300U,4GB,DDR4,Integrated,256GB,1080p,450,HP
Intel Core i3-1115G4,16GB,DDR4,GTX 1050Ti,128GB,1080p,580,Acer
Intel Core i5-11400H,8GB,DDR4,GTX 1660Ti,256GB,1080p,680,Dell
Intel Core i5-12500H,16GB,DDR5,RTX 3050,512GB,1080p,780,Acer
Intel Core i7-11800H,32GB,DDR4,RTX 2070,512GB,1080p,1070,Dell
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3060,512GB,1080p,920,ASUS
Intel Core i3-1115G4,8GB,DDR4,GTX 1660,512GB,1080p,630,Dell
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 2060,2TB,4K,2200,MSI
Intel Core i5-10300H,16GB,DDR3,GTX 1660Ti,256GB,1080p,590,Dell
Intel Core i7-13620H,64GB,DDR5,RTX 3070,512GB,1080p,2080,MSI
Intel Core i3-1005G1,8GB,DDR4,GTX 1660Ti,512GB,720p,590,Dell
Intel Core i5-11400H,8GB,DDR4,GTX 1660,256GB,1080p,660,Dell
AMD Ryzen 5 5600H,16GB,DDR3,GTX 1660Ti,256GB,1080p,700,Lenovo
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3050Ti,1TB,1080p,1650,Gigabyte
Intel Core i9-12900H,64GB,DDR4,RTX 4090,1TB,1080p,2290,ASUS
Intel Core i3-1005G1,32GB,DDR4,RTX 3060,512GB,720p,820,Gigabyte
AMD Ryzen 7 7730U,32GB,DDR5,GTX 1660Ti,512GB,1080p,1300,MSI
Intel Core i5-11400H,16GB,DDR3,RTX 3050,512GB,1080p,650,Acer
Intel Core i7-12700H,16GB,DDR4,RTX 4070,512GB,4K,1590,Lenovo
AMD Ryzen 5 5500U,16GB,DDR4,RTX 3050Ti,256GB,1080p,910,MSI
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050,512GB,1080p,980,Lenovo
AMD Ryzen 3 5300U,32GB,DDR4,RTX 2070,512GB,1080p,1060,Gigabyte
AMD Ryzen 3 5300U,4GB,DDR4,GTX 1650,512GB,720p,490,Lenovo
AMD Ryzen 5 5500U,8GB,DDR4,GTX 1660,512GB,1080p,670,Acer
Intel Core i5-11400H,8GB,DDR4,GTX 1650,512GB,1080p,640,Dell
Intel Core i9-11900H,64GB,DDR4,RTX 4080,512GB,4K,3650,Alienware
Intel Core i9-13900H,16GB,DDR5,RTX 3050,2TB,1080p,1460,Gigabyte
Intel Core i9-12900H,16GB,DDR5,RTX 3050,2TB,4K,1660,Dell
Intel Core i5-11400H,32GB,DDR4,RTX 4050,512GB,1080p,1050,Lenovo
Intel Core i9-12900H,32GB,DDR4,RTX 2060,512GB,1080p,1360,MSI
Intel Core i5-12500H,16GB,DDR5,GTX 1660,1TB,1080p,950,Dell
AMD Ryzen 9 7940HS,16GB,DDR4,RTX 4090,512GB,4K,3180,Alienware
Intel Core i5-10300H,16GB,DDR4,GTX 1660Ti,1TB,1080p,810,Dell
Intel Core i9-12900H,16GB,DDR4,RTX 3060,2TB,1080p,1240,Lenovo
AMD Ryzen 7 5800H,16GB,DDR4,RTX 4060,512GB,1080p,1210,Gigabyte
AMD Ryzen 3 5300U,16GB,DDR4,Integrated,256GB,1080p,520,Lenovo
Intel Core i9-12900H,16GB,DDR5,RTX 3070,1TB,4K,1920,Dell
AMD Ryzen 5 5500U,16GB,DDR3,Integrated,512GB,720p,430,Acer
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3050Ti,512GB,1080p,1280,ASUS
AMD Ryzen 9 7940HS,32GB,DDR4,RTX 2070,512GB,1440p,1790,MSI
Intel Core i9-12900H,16GB,DDR5,RTX 4060,512GB,1080p,1540,MSI
Intel Core i9-13900H,16GB,DDR5,RTX 4070,1TB,1080p,1660,ASUS
Intel Core i9-13900H,64GB,DDR5,RTX 4050,1TB,4K,2780,Gigabyte
Intel Core i5-12500H,32GB,DDR5,RTX 3060,256GB,1440p,1640,ASUS
AMD Ryzen 7 7730U,16GB,DDR4,RTX 3050,1TB,1080p,1070,MSI
Intel Core i5-10300H,32GB,DDR4,RTX 3050,512GB,1080p,830,Acer
AMD Ryzen 3 5300U,8GB,DDR4,Integrated,256GB,1080p,480,Dell
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 2060,1TB,4K,1940,ASUS
Intel Core i7-13620H,64GB,DDR5,RTX 4050,1TB,1440p,2510,MSI
Intel Core i3-1005G1,8GB,DDR4,GTX 1660Ti,256GB,720p,510,Dell
Intel Core i5-12500H,16GB,DDR5,RTX 4050,512GB,1080p,1260,ASUS
Intel Core i7-13620H,64GB,DDR4,GTX 1660,1TB,1080p,1280,Lenovo
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3050Ti,512GB,1080p,750,Dell
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 4090,512GB,1440p,3160,MSI
Intel Core i9-13900H,16GB,DDR5,RTX 4090,512GB,1080p,2220,Razer
AMD Ryzen 5 5600H,32GB,DDR4,RTX 3050,512GB,1080p,920,Dell
Intel Core i5-12500H,32GB,DDR4,GTX 1650,256GB,1080p,940,Dell
AMD Ryzen 7 5800H,16GB,DDR5,GTX 1660Ti,256GB,1080p,1130,ASUS
Intel Core i5-10300H,8GB,DDR4,RTX 3060,256GB,1080p,910,MSI
AMD Ryzen 7 5800H,64GB,DDR4,RTX 4070,1TB,4K,2460,Dell
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3060,256GB,1080p,900,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1660,512GB,1080p,710,Lenovo
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 4060,1TB,4K,2090,ASUS
Intel Core i7-13620H,32GB,DDR5,RTX 3070,256GB,1080p,1470,ASUS
AMD Ryzen 7 5800H,32GB,DDR4,RTX 3080,1TB,4K,2090,MSI
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050,512GB,1080p,1310,MSI
Intel Core i5-11400H,8GB,DDR3,Integrated,256GB,1080p,430,Dell
Intel Core i7-12700H,32GB,DDR4,GTX 1050Ti,512GB,1440p,1040,Dell
AMD Ryzen 5 5500U,16GB,DDR4,RTX 4050,512GB,1080p,990,ASUS
Intel Core i5-11400H,32GB,DDR3,RTX 2060,1TB,1080p,810,Acer
Intel Core i5-11400H,16GB,DDR4,RTX 2070,512GB,1080p,940,Gigabyte
AMD Ryzen 5 5500U,4GB,DDR4,GTX 1660,512GB,1080p,620,HP
Intel Core i7-11800H,8GB,DDR4,GTX 1660Ti,1TB,1080p,800,Lenovo
Intel Core i9-12900H,64GB,DDR4,RTX 4090,1TB,1080p,2680,Alienware
Intel Core i5-11400H,8GB,DDR3,RTX 3050,512GB,720p,530,HP
AMD Ryzen 3 5300U,16GB,DDR4,RTX 2070,256GB,1080p,920,Gigabyte
AMD Ryzen 3 5300U,16GB,DDR4,GTX 1650,512GB,720p,550,HP
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 4060,512GB,1440p,1750,MSI
AMD Ryzen 3 5300U,8GB,DDR4,RTX 3050,256GB,1080p,630,HP
Intel Core i5-12500H,16GB,DDR4,GTX 1660Ti,1TB,1080p,730,Acer
AMD Ryzen 7 7730U,16GB,DDR5,RTX 2070,256GB,1080p,1170,Gigabyte
Intel Core i9-11900H,16GB,DDR4,RTX 3050,1TB,1440p,1320,ASUS
Intel Core i5-10300H,16GB,DDR4,RTX 3050,256GB,1080p,640,Acer
Intel Core i5-11400H,8GB,DDR4,RTX 3050,512GB,1080p,620,Acer
Intel Core i7-12700H,64GB,DDR5,RTX 3080,1TB,4K,2980,Gigabyte
Intel Core i7-13620H,32GB,DDR4,RTX 3070,512GB,1440p,1490,Dell
AMD Ryzen 9 7940HS,16GB,DDR4,RTX 2060,512GB,1440p,1590,MSI
Intel Core i5-12500H,8GB,DDR5,RTX 3050,512GB,1080p,850,Dell
Intel Core i7-12700H,16GB,DDR4,GTX 1650,1TB,1080p,880,Lenovo
Intel Core i7-13620H,32GB,DDR5,RTX 4060,512GB,1080p,1410,Lenovo
AMD Ryzen 3 5300U,32GB,DDR3,RTX 4050,1TB,720p,780,Dell
AMD Ryzen 5 5500U,16GB,DDR3,RTX 4050,512GB,1080p,870,MSI
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4060,1TB,1440p,1440,Lenovo
Intel Core i5-11400H,16GB,DDR4,RTX 3050,512GB,720p,740,Dell
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 2070,512GB,1440p,1940,ASUS
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 3070,1TB,1440p,1640,Gigabyte
Intel Core i9-11900H,32GB,DDR3,RTX 2070,1TB,1440p,1230,Lenovo
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 3080,512GB,4K,3230,MSI
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 4060,2TB,1440p,2010,ASUS
Intel Core i5-12500H,16GB,DDR4,RTX 4050,512GB,1080p,1130,MSI
Intel Core i7-12700H,32GB,DDR4,RTX 4070,512GB,1080p,1700,MSI
Intel Core i7-11800H,8GB,DDR3,RTX 2060,512GB,1080p,840,MSI
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3070,512GB,1080p,1120,Dell
AMD Ryzen 5 5600H,32GB,DDR4,RTX 3060,512GB,1080p,1020,Lenovo
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1660Ti,256GB,1080p,730,Dell
AMD Ryzen 5 5600H,16GB,DDR4,RTX 3060,1TB,1080p,1070,Dell
Intel Core i9-12900H,32GB,DDR4,RTX 4090,512GB,4K,2660,MSI
AMD Ryzen 7 7730U,16GB,DDR5,RTX 2060,512GB,1440p,1540,ASUS
Intel Core i9-11900H,16GB,DDR4,RTX 3080,512GB,1440p,1940,Razer
Intel Core i9-13900H,64GB,DDR5,RTX 4090,512GB,1080p,2610,MSI
AMD Ryzen 7 5800H,32GB,DDR5,RTX 2060,256GB,1440p,1320,Dell
Intel Core i5-12500H,8GB,DDR4,RTX 2060,512GB,1080p,690,HP
Intel Core i7-11800H,32GB,DDR3,RTX 3070,512GB,1080p,960,Dell
Intel Core i5-11400H,16GB,DDR4,GTX 1650,128GB,1080p,750,Dell
Intel Core i3-1115G4,16GB,DDR4,Integrated,512GB,1080p,600,HP
Intel Core i3-1115G4,32GB,DDR3,RTX 2060,512GB,1080p,710,Lenovo
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 4080,512GB,4K,2560,Alienware
AMD Ryzen 3 3250U,16GB,DDR3,GTX 1650,512GB,1080p,530,HP
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 3050,2TB,4K,1950,Lenovo
AMD Ryzen 5 5600H,32GB,DDR4,GTX 1650,512GB,1080p,760,Acer
Intel Core i7-11800H,16GB,DDR4,GTX 1660,512GB,1080p,890,Gigabyte
Intel Core i7-12700H,32GB,DDR4,RTX 2060,1TB,1080p,1100,ASUS
AMD Ryzen 3 5300U,8GB,DDR4,GTX 1660,512GB,1080p,670,Lenovo
Intel Core i9-11900H,32GB,DDR4,RTX 4050,1TB,1080p,1340,Lenovo
AMD Ryzen 7 7730U,16GB,DDR4,RTX 2070,512GB,1440p,1230,MSI
Intel Core i9-12900H,32GB,DDR5,RTX 3050,1TB,4K,1750,Lenovo
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 3050,512GB,1080p,1090,Gigabyte
AMD Ryzen 5 5500U,8GB,DDR3,GTX 1660,512GB,1080p,560,Lenovo
Intel Core i9-11900H,32GB,DDR4,RTX 2060,2TB,4K,2080,MSI
Intel Core i7-12700H,16GB,DDR4,RTX 3050,512GB,1080p,990,Lenovo
Intel Core i9-13900H,16GB,DDR5,RTX 3070,1TB,1440p,1600,Lenovo
AMD Ryzen 3 3250U,8GB,DDR4,RTX 3050Ti,512GB,1080p,740,Lenovo
Intel Core i7-12700H,64GB,DDR4,RTX 4070,1TB,1440p,2350,ASUS
AMD Ryzen 3 3250U,16GB,DDR4,GTX 1660Ti,512GB,1080p,710,Acer
AMD Ryzen 5 5600H,16GB,DDR4,RTX 3050,512GB,1080p,820,Dell
Intel Core i5-12500H,16GB,DDR5,RTX 4050,1TB,1080p,1220,MSI
Intel Core i5-12500H,8GB,DDR5,Integrated,1TB,1440p,760,HP
AMD Ryzen 7 5800H,32GB,DDR5,GTX 1660,512GB,1080p,1150,Lenovo
Intel Core i3-1115G4,8GB,DDR3,GTX 1050Ti,128GB,1080p,480,HP
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 2070,512GB,1440p,1650,Dell
Intel Core i3-1115G4,16GB,DDR3,GTX 1660Ti,256GB,1080p,600,Lenovo
Intel Core i5-12500H,32GB,DDR5,GTX 1660Ti,256GB,1080p,1040,Dell
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 4080,512GB,1440p,1790,ASUS
Intel Core i7-12700H,32GB,DDR4,RTX 2060,1TB,1080p,1070,Dell
AMD Ryzen 3 3250U,4GB,DDR4,Integrated,256GB,720p,400,Lenovo
Intel Core i9-12900H,16GB,DDR4,RTX 4050,1TB,1080p,1280,Gigabyte
Intel Core i5-10300H,8GB,DDR4,RTX 3050,512GB,1080p,660,HP
Intel Core i9-13900H,64GB,DDR5,RTX 4080,1TB,1080p,2260,ASUS
Intel Core i9-11900H,16GB,DDR3,RTX 4070,512GB,4K,1990,Alienware
Intel Core i7-12700H,32GB,DDR4,RTX 3050Ti,1TB,1440p,1600,MSI
Intel Core i7-11800H,64GB,DDR3,RTX 4060,256GB,1440p,1640,Gigabyte
Intel Core i5-10300H,8GB,DDR4,GTX 1650,256GB,1080p,530,Acer
AMD Ryzen 5 5500U,4GB,DDR4,GTX 1650,256GB,720p,480,HP
Intel Core i9-11900H,16GB,DDR4,RTX 3070,1TB,4K,1800,Gigabyte
AMD Ryzen 7 7730U,32GB,DDR5,GTX 1660,512GB,1080p,1370,MSI
Intel Core i7-11800H,32GB,DDR4,RTX 3070,512GB,1080p,1260,ASUS
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 3080,1TB,4K,2730,ASUS
Intel Core i3-1005G1,16GB,DDR4,RTX 2060,1TB,1080p,770,Dell
AMD Ryzen 7 5800H,32GB,DDR4,RTX 4060,256GB,1080p,1060,Dell
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4050,512GB,1440p,1680,MSI
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 4070,2TB,4K,2730,Razer
Intel Core i3-1115G4,16GB,DDR4,RTX 2070,256GB,1080p,790,Lenovo
Intel Core i5-11400H,16GB,DDR4,RTX 2070,512GB,720p,700,Dell
Intel Core i5-12500H,16GB,DDR4,GTX 1660,512GB,1440p,870,Dell
AMD Ryzen 3 5300U,8GB,DDR4,GTX 1650,512GB,1080p,590,HP
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 3050Ti,2TB,1440p,1760,Gigabyte
Intel Core i5-10300H,4GB,DDR4,GTX 1660,256GB,1080p,680,Lenovo
Intel Core i9-12900H,16GB,DDR5,RTX 4080,512GB,1080p,2290,Alienware
Intel Core i7-11800H,32GB,DDR3,RTX 2070,512GB,1080p,970,MSI
AMD Ryzen 3 5300U,8GB,DDR3,GTX 1660,256GB,1080p,450,Acer
Intel Core i5-10300H,8GB,DDR4,GTX 1660,256GB,1080p,670,Dell
Intel Core i9-12900H,16GB,DDR5,RTX 2070,1TB,1440p,1670,Lenovo
Intel Core i7-11800H,8GB,DDR4,RTX 4050,512GB,1080p,1050,ASUS
Intel Core i7-13620H,16GB,DDR5,RTX 3060,256GB,1080p,1260,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 2060,512GB,1440p,1080,Lenovo
Intel Core i9-11900H,64GB,DDR4,RTX 3060,1TB,4K,2230,MSI
Intel Core i7-13620H,64GB,DDR5,RTX 3060,512GB,1440p,2320,Gigabyte
Intel Core i5-11400H,8GB,DDR4,RTX 2060,1TB,720p,610,HP
AMD Ryzen 5 5500U,8GB,DDR4,Integrated,512GB,1080p,580,Lenovo
Intel Core i7-12700H,16GB,DDR5,RTX 4070,512GB,4K,2060,Dell
Intel Core i7-13620H,64GB,DDR5,GTX 1650,512GB,1080p,1720,MSI
Intel Core i7-13620H,64GB,DDR5,GTX 1660Ti,512GB,1080p,1660,ASUS
Intel Core i7-13620H,16GB,DDR5,RTX 2060,512GB,1440p,1340,ASUS
Intel Core i5-10300H,8GB,DDR4,RTX 3050,512GB,1080p,600,Acer
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4060,1TB,4K,2220,ASUS
AMD Ryzen 7 7730U,64GB,DDR5,RTX 3050,256GB,1080p,1570,Dell
AMD Ryzen 5 5500U,8GB,DDR4,Integrated,256GB,720p,460,Dell
Intel Core i3-1115G4,8GB,DDR3,GTX 1050Ti,256GB,1080p,470,Lenovo
Intel Core i5-12500H,8GB,DDR4,RTX 2060,256GB,1440p,840,Lenovo
Intel Core i9-11900H,32GB,DDR4,RTX 4090,1TB,1440p,2430,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,RTX 4050,256GB,1080p,780,Dell
AMD Ryzen 3 5300U,16GB,DDR4,RTX 3050Ti,256GB,720p,740,ASUS
Intel Core i5-11400H,16GB,DDR4,Integrated,512GB,1080p,620,Acer
AMD Ryzen 3 5300U,8GB,DDR4,GTX 1660,512GB,1080p,640,Dell
Intel Core i7-11800H,32GB,DDR3,GTX 1650,1TB,1080p,820,Lenovo
AMD Ryzen 3 3250U,16GB,DDR4,RTX 2070,512GB,1080p,890,Gigabyte
Intel Core i3-1005G1,8GB,DDR4,Integrated,256GB,720p,400,Acer
Intel Core i9-13900H,16GB,DDR5,RTX 3060,1TB,1440p,1620,ASUS
Intel Core i5-12500H,16GB,DDR4,GTX 1660,256GB,1080p,800,Lenovo
AMD Ryzen 3 5300U,8GB,DDR4,GTX 1660,512GB,1080p,670,Lenovo
Intel Core i5-12500H,16GB,DDR5,RTX 2060,512GB,1440p,980,Acer
Intel Core i3-1005G1,8GB,DDR4,GTX 1660Ti,256GB,720p,490,Acer
Intel Core i5-11400H,8GB,DDR4,GTX 1660,128GB,1080p,660,HP
Intel Core i5-10300H,16GB,DDR4,RTX 2070,512GB,1080p,910,ASUS
Intel Core i7-13620H,64GB,DDR5,RTX 3050,512GB,1080p,1830,ASUS
Intel Core i7-11800H,16GB,DDR4,RTX 3050,256GB,1080p,810,Dell
Intel Core i9-12900H,32GB,DDR4,RTX 2070,1TB,1080p,1560,MSI
Intel Core i7-11800H,16GB,DDR4,RTX 4050,512GB,1440p,1300,MSI
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1650,512GB,1440p,850,HP
Intel Core i3-1115G4,32GB,DDR4,RTX 3050,512GB,1080p,810,Lenovo
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1650,512GB,1080p,720,Acer
AMD Ryzen 5 5600H,32GB,DDR3,GTX 1050Ti,256GB,1080p,700,Lenovo
Intel Core i3-1005G1,16GB,DDR4,RTX 3050Ti,256GB,1080p,810,ASUS
Intel Core i3-1115G4,16GB,DDR4,RTX 3060,256GB,1080p,910,Lenovo
Intel Core i5-11400H,32GB,DDR4,RTX 2070,1TB,720p,1000,Gigabyte
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1050Ti,128GB,1080p,560,Lenovo
Intel Core i7-12700H,32GB,DDR5,GTX 1660,512GB,1080p,1360,ASUS
Intel Core i5-11400H,16GB,DDR3,RTX 3050Ti,256GB,720p,590,Lenovo
AMD Ryzen 7 7730U,32GB,DDR5,RTX 2060,512GB,1080p,1500,MSI
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 4070,1TB,1440p,2600,Alienware
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1660Ti,256GB,1080p,750,Dell
Intel Core i9-11900H,16GB,DDR3,RTX 4060,1TB,1440p,1160,Dell
Intel Core i7-13620H,16GB,DDR5,RTX 4060,256GB,1080p,1210,Dell
Intel Core i9-11900H,64GB,DDR4,RTX 4070,512GB,1440p,2570,Alienware
AMD Ryzen 3 5300U,16GB,DDR4,GTX 1650,512GB,1080p,690,Acer
AMD Ryzen 3 5300U,8GB,DDR4,RTX 3060,512GB,720p,780,ASUS
Intel Core i7-13620H,64GB,DDR5,RTX 3070,1TB,1440p,2460,ASUS
Intel Core i9-13900H,16GB,DDR4,RTX 4080,1TB,4K,2640,MSI
Intel Core i7-12700H,64GB,DDR5,RTX 3060,512GB,1080p,1690,Dell
Intel Core i5-12500H,32GB,DDR4,GTX 1650,512GB,1080p,930,Lenovo
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3060,1TB,720p,840,MSI
Intel Core i7-13620H,32GB,DDR5,RTX 4070,1TB,4K,2070,Dell
AMD Ryzen 3 3250U,8GB,DDR3,RTX 3050Ti,512GB,1080p,630,Dell
Intel Core i9-13900H,16GB,DDR5,RTX 4080,1TB,1080p,2540,Alienware
Intel Core i9-13900H,32GB,DDR5,RTX 3060,512GB,1440p,1600,Lenovo
Intel Core i9-13900H,16GB,DDR4,RTX 4070,1TB,4K,2030,ASUS
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1050Ti,512GB,1080p,700,Dell
Intel Core i5-10300H,8GB,DDR4,GTX 1050Ti,256GB,1080p,530,Acer
